Customer_ID,Age,Gender,City_Tier,Employment_Type,Customer_Segment,Tenure_Months,Monthly_Income,Account_Balance,Credit_Score,Product_Type,Products_Used,Preferred_Channel,Loyalty_Member,Transactions_Last_3M,Transactions_Previous_3M,Transaction_Change_Pct,Avg_Transaction_Value,App_Usage_Hours_Last_3M,App_Usage_Hours_Previous_3M,App_Usage_Change_Pct,Last_Login_Days_Ago,Customer_Support_Calls,Complaints,Satisfaction_Score,Offers_Used,Balance_Change_Pct,Churn
C100001,61,Female,Tier 3,Salaried,Standard,38,54000,275100,628,Savings,2,Web,No,31,30,3.3,3408,4.6,4.9,-6.7,13,0,0,1,0,14.7,0
C100002,39,Male,Tier 3,Student,Standard,12,35000,172500,688,Salary,2,Mobile App,No,30,23,30.4,2950,8.4,7.9,6.2,14,4,0,5,4,8.7,1
C100003,66,Female,Tier 1,Salaried,Standard,89,55300,298200,685,Savings,5,Web,No,16,42,-61.9,3226,7.8,7.9,-1.0,9,1,0,7,1,-7.0,0
C100004,29,Female,Tier 3,Salaried,Standard,42,39500,137900,722,Premium,5,Web,No,19,22,-13.6,3673,0.5,0.5,0.0,5,3,1,7,5,-22.8,0
C100005,62,Male,Tier 1,Salaried,High Value,34,86700,98800,632,Savings,3,Web,No,36,33,9.1,2469,8.1,6.9,18.2,8,3,0,10,2,4.0,0
C100006,47,Male,Tier 1,Self-employed,Standard,71,49600,212700,742,Savings,4,Mobile App,Yes,26,23,13.0,2465,12.4,10.7,15.9,23,1,1,7,0,4.7,0
C100007,31,Female,Tier 1,Self-employed,Standard,22,54700,179000,833,Savings,4,Mobile App,No,33,29,13.8,4053,5.2,6.0,-13.7,4,0,0,5,2,-17.6,0
C100008,62,Male,Tier 2,Salaried,Standard,1,69700,367600,771,Savings,4,Web,No,22,27,-18.5,3214,4.4,5.1,-13.2,31,3,1,8,1,28.1,0
C100009,56,Female,Tier 1,Self-employed,Basic,66,84100,206200,735,Current,1,Mobile App,No,30,39,-23.1,1796,2.4,3.4,-30.3,6,3,1,9,1,-15.1,1
C100010,51,Female,Tier 2,Salaried,Standard,63,41400,93400,741,Salary,2,Web,Yes,27,27,0.0,3545,2.5,2.5,-0.8,18,3,2,5,0,-6.3,1
C100011,70,Female,Tier 2,Salaried,Standard,87,71800,295800,715,Savings,2,Mobile App,No,27,32,-15.6,2370,4.7,5.0,-5.7,14,0,1,7,3,-13.4,0
C100012,20,Female,Tier 1,Student,Standard,56,79500,451100,755,Salary,3,Web,No,38,35,8.6,3163,1.1,0.9,18.7,11,1,1,3,0,20.0,0
C100013,21,Female,Tier 3,Salaried,Standard,60,36900,151100,736,Savings,3,Mobile App,No,23,29,-20.7,2907,5.1,3.8,34.9,12,6,0,9,1,19.2,0
C100014,64,Male,Tier 1,Salaried,Standard,72,51900,134300,692,Current,4,Mobile App,Yes,26,20,30.0,3411,4.7,5.5,-14.1,2,2,1,10,2,-15.2,0
C100015,30,Female,Tier 1,Salaried,Standard,30,31500,76500,663,Savings,4,Web,Yes,18,20,-10.0,3698,5.2,6.2,-16.4,24,1,0,4,0,-7.3,0
C100016,42,Male,Tier 1,Salaried,Standard,53,25700,51300,608,Savings,3,Web,Yes,19,28,-32.1,3442,6.9,5.9,17.0,2,1,0,10,1,-11.8,0
C100017,47,Male,Tier 3,Salaried,Standard,11,74800,81200,793,Salary,4,Branch,No,29,31,-6.5,3333,3.8,5.5,-31.2,27,1,3,7,0,12.7,0
C100018,53,Female,Tier 1,Self-employed,Basic,29,44000,67200,733,Salary,1,Web,No,24,30,-20.0,2598,7.7,6.1,26.5,24,2,1,6,1,-15.2,1
C100019,59,Female,Tier 2,Self-employed,Standard,46,42900,61700,814,Savings,3,Mobile App,No,17,18,-5.6,3576,6.4,9.1,-29.7,9,0,1,6,3,15.2,0
C100020,27,Male,Tier 3,Business,Standard,61,12000,46700,783,Salary,3,Web,Yes,27,26,3.8,4898,5.5,5.0,9.0,11,1,2,9,5,-12.9,0
C100021,69,Male,Tier 3,Self-employed,Standard,2,63000,28100,656,Salary,2,Web,No,45,46,-2.2,3879,8.3,7.0,19.3,7,2,1,9,1,-11.1,0
C100022,67,Female,Tier 1,Business,Standard,50,60400,156000,774,Salary,3,Web,No,30,34,-11.8,1824,7.3,11.0,-33.4,3,3,1,8,2,9.2,0
C100023,57,Male,Tier 3,Self-employed,High Value,86,90600,524400,654,Savings,3,Mobile App,Yes,32,32,0.0,2701,6.0,5.8,3.6,8,3,1,6,1,-26.8,0
C100024,35,Female,Tier 2,Business,Standard,22,31000,149200,793,Savings,3,Mobile App,Yes,40,31,29.0,3306,2.4,1.8,33.7,13,1,2,5,0,-5.7,1
C100025,57,Female,Tier 3,Self-employed,Standard,67,42900,113100,654,Premium,2,Web,Yes,37,33,12.1,2267,0.4,0.6,-38.4,30,4,1,6,4,-9.2,0
C100026,59,Female,Tier 1,Self-employed,Standard,67,78900,301700,703,Savings,5,Web,Yes,30,30,0.0,3391,4.4,3.7,17.9,6,1,0,7,1,11.4,0
C100027,40,Male,Tier 3,Student,Standard,95,21300,78500,597,Salary,3,Mobile App,No,26,30,-13.3,2899,3.2,3.5,-9.5,10,0,0,9,0,10.0,0
C100028,18,Female,Tier 1,Salaried,Standard,89,35700,78200,645,Savings,2,Mobile App,Yes,22,25,-12.0,2775,4.2,4.1,1.4,4,0,0,1,0,-14.3,0
C100029,42,Male,Tier 1,Retired,Standard,71,44000,249700,719,Salary,2,ATM,Yes,17,26,-34.6,3360,3.5,3.8,-6.7,17,1,0,4,4,31.9,0
C100030,68,Male,Tier 3,Salaried,Standard,27,35900,46300,630,Current,2,Mobile App,No,35,33,6.1,487,4.8,5.3,-9.3,3,2,0,1,1,-16.5,0
C100031,18,Female,Tier 1,Self-employed,Standard,55,34600,161500,726,Savings,2,ATM,Yes,28,23,21.7,4416,3.4,3.6,-6.0,4,1,0,6,0,12.4,0
C100032,43,Female,Tier 2,Salaried,Standard,6,55300,205500,740,Salary,2,ATM,No,50,38,31.6,477,1.3,1.6,-18.6,12,0,1,10,2,-2.5,0
C100033,52,Male,Tier 1,Retired,Basic,58,73400,87400,737,Current,1,ATM,No,45,37,21.6,3051,2.4,2.2,6.8,22,2,1,7,1,-18.4,0
C100034,46,Male,Tier 3,Business,Standard,11,81300,593800,765,Savings,2,Mobile App,No,41,34,20.6,4088,4.7,4.8,-2.1,21,0,1,9,1,-5.4,0
C100035,18,Male,Tier 2,Self-employed,Standard,29,78800,269700,703,Savings,2,Mobile App,No,17,24,-29.2,373,2.9,2.8,3.3,2,1,0,7,2,27.7,0
C100036,23,Male,Tier 1,Self-employed,High Value,28,161900,98000,680,Savings,3,Mobile App,No,29,30,-3.3,2473,5.1,4.2,20.4,3,2,0,9,1,-10.2,0
C100037,41,Male,Tier 1,Salaried,Standard,33,77200,44200,626,Salary,5,Mobile App,Yes,31,30,3.3,4158,1.4,2.4,-42.3,17,2,0,9,1,5.6,0
C100038,25,Male,Tier 2,Retired,Basic,49,24500,77500,753,Savings,1,Mobile App,No,25,24,4.2,3304,2.4,3.4,-28.7,4,3,2,4,1,-2.6,1
C100039,27,Male,Tier 2,Salaried,Basic,76,53400,139200,745,Salary,1,Mobile App,No,27,32,-15.6,4909,9.2,6.9,33.0,15,1,0,4,0,2.6,0
C100040,68,Male,Tier 1,Salaried,Basic,57,29400,213300,694,Salary,1,Branch,No,23,21,9.5,1358,11.7,11.7,-0.1,8,4,0,8,2,23.3,0
C100041,23,Male,Tier 2,Salaried,High Value,47,87500,134900,763,Savings,3,Web,Yes,30,33,-9.1,2561,3.2,4.5,-28.3,32,1,1,10,1,-0.9,0
